----------------------------- Device___15___2018-03-02 --------------------------
Date	Time	DinghyID	UserID	COG	SOG	LAT	LON	Pitch	Roll
2018/03/02	08:02:31	15	59cd04e5805f02002beba652	0.00	0.00	45.797419	12.817650	0.26	0.25
2018/03/02	08:02:32	15	59cd04e5805f02002beba652	0.00	0.00	45.797453	12.817587	0.26	0.25
2018/03/02	08:02:33	15	59cd04e5805f02002beba652	0.00	0.00	45.797464	12.817571	0.26	0.25
2018/03/02	08:02:34	15	59cd04e5805f02002beba652	0.00	0.00	45.797467	12.817567	0.26	0.25
2018/03/02	08:02:35	15	59cd04e5805f02002beba652	0.00	0.00	45.797484	12.817531	0.26	0.25
2018/03/02	08:02:36	15	59cd04e5805f02002beba652	0.00	0.00	45.797494	12.817515	0.26	0.25
2018/03/02	08:02:37	15	59cd04e5805f02002beba652	0.00	0.00	45.797497	12.817508	0.26	0.25
2018/03/02	08:02:38	15	59cd04e5805f02002beba652	0.00	0.00	45.797501	12.817496	0.26	0.25
2018/03/02	08:02:39	15	59cd04e5805f02002beba652	0.00	0.00	45.797504	12.817488	0.26	0.25
2018/03/02	08:02:40	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:02:41	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:02:42	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:02:43	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:02:44	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:02:45	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:02:46	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:02:47	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:02:48	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:02:49	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:02:50	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:02:51	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:02:52	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:02:53	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:02:54	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:02:55	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:02:57	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:02:59	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:03:00	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:03:01	15	59cd04e5805f02002beba652	0.00	0.00	45.797511	12.817472	0.26	0.25
2018/03/02	08:03:02	15	59cd04e5805f02002beba652	0.00	0.00	45.797511	12.817475	0.26	0.25
2018/03/02	08:03:03	15	59cd04e5805f02002beba652	0.00	0.00	45.797515	12.817470	0.26	0.25
2018/03/02	08:03:04	15	59cd04e5805f02002beba652	0.00	0.00	45.797511	12.817477	0.26	0.25
2018/03/02	08:03:05	15	59cd04e5805f02002beba652	0.00	0.00	45.797508	12.817478	0.26	0.25
2018/03/02	08:03:06	15	59cd04e5805f02002beba652	0.00	0.00	45.797508	12.817479	0.26	0.25
2018/03/02	08:03:07	15	59cd04e5805f02002beba652	0.00	0.00	45.797508	12.817482	0.26	0.25
2018/03/02	08:03:08	15	59cd04e5805f02002beba652	0.00	0.00	45.797504	12.817488	0.26	0.25
2018/03/02	08:03:09	15	59cd04e5805f02002beba652	0.00	0.00	45.797501	12.817490	0.26	0.25
2018/03/02	08:03:10	15	59cd04e5805f02002beba652	0.00	0.00	45.797501	12.817489	0.26	0.25
2018/03/02	08:03:11	15	59cd04e5805f02002beba652	0.00	0.00	45.797501	12.817489	0.26	0.25
2018/03/02	08:03:12	15	59cd04e5805f02002beba652	0.00	0.00	45.797501	12.817489	0.26	0.25
2018/03/02	08:03:13	15	59cd04e5805f02002beba652	0.00	0.00	45.797501	12.817490	0.26	0.25
2018/03/02	08:03:14	15	59cd04e5805f02002beba652	0.00	0.00	45.797501	12.817491	0.26	0.25
2018/03/02	08:03:15	15	59cd04e5805f02002beba652	0.00	0.00	45.797501	12.817491	0.26	0.25
2018/03/02	08:03:16	15	59cd04e5805f02002beba652	0.00	0.00	45.797501	12.817493	0.26	0.25
2018/03/02	08:03:17	15	59cd04e5805f02002beba652	0.00	0.00	45.797497	12.817494	0.26	0.25
2018/03/02	08:03:18	15	59cd04e5805f02002beba652	0.00	0.00	45.797497	12.817494	0.26	0.25
2018/03/02	08:03:19	15	59cd04e5805f02002beba652	0.00	0.00	45.797497	12.817494	0.26	0.25
2018/03/02	08:03:20	15	59cd04e5805f02002beba652	0.00	0.00	45.797497	12.817494	0.26	0.25
2018/03/02	08:03:21	15	59cd04e5805f02002beba652	0.00	0.00	45.797497	12.817494	0.26	0.25
2018/03/02	08:03:22	15	59cd04e5805f02002beba652	0.00	0.00	45.797497	12.817494	0.26	0.25
2018/03/02	08:03:23	15	59cd04e5805f02002beba652	0.00	0.00	45.797497	12.817493	0.26	0.25
2018/03/02	08:03:24	15	59cd04e5805f02002beba652	0.00	0.00	45.797497	12.817493	0.26	0.25
2018/03/02	08:03:25	15	59cd04e5805f02002beba652	0.00	0.00	45.797497	12.817491	0.26	0.25
2018/03/02	08:03:27	15	59cd04e5805f02002beba652	0.00	0.00	45.797501	12.817491	0.26	0.25
2018/03/02	08:03:28	15	59cd04e5805f02002beba652	0.00	0.00	45.797501	12.817491	0.26	0.25
2018/03/02	08:03:29	15	59cd04e5805f02002beba652	0.00	0.00	45.797501	12.817490	0.26	0.25
2018/03/02	08:03:30	15	59cd04e5805f02002beba652	0.00	0.00	45.797501	12.817490	0.26	0.25
2018/03/02	08:03:31	15	59cd04e5805f02002beba652	0.00	0.00	45.797501	12.817490	0.26	0.25
2018/03/02	08:03:32	15	59cd04e5805f02002beba652	0.00	0.00	45.797501	12.817490	0.26	0.25
2018/03/02	08:03:33	15	59cd04e5805f02002beba652	0.00	0.00	45.797501	12.817490	0.26	0.25
2018/03/02	08:03:34	15	59cd04e5805f02002beba652	0.00	0.00	45.797501	12.817490	0.26	0.25
2018/03/02	08:03:35	15	59cd04e5805f02002beba652	0.00	0.00	45.797501	12.817489	0.26	0.25
